,Company ID,Address,Country
46,GC00101096,Kemikler Mahallesi Güllük Güvercinlik Arası- 2.Bulvar  No : 5 /5 Bodrum 48670 Muğla,Turkey
47,GC0001517,Atakent mah. Bezkese bulvarı no:2 Dalaman 48770 Muğla,Turkey
48,GC0034312,Atakent mah. Bezkese bulvarı no:2 Dalaman 48770 Muğla,Turkey
49,GC0013070,Aydınlık Evler Mah.19 Mayıs Bulvarı No:115/A Milas 48 200 Muğla,Turkey
50,GC0030407,"Cumhuriyet Mah. Cumhuriyet Sk. Erçal Plaza No:1, Tekkeköy 55300 Samsun",Turkey
51,GC0001520,Cumhuriyet Mahallesi Samsun Ordu Caddesi No: 142 Tekkeköy 55 300 Samsun,Turkey
52,GC0001512,Gültepe Mahallesi Küçük Sanayi Cad. No:11 58 001 Sivas,Turkey
53,GC0001503,İstanbul Yolu Üzeri Önerler Kavşağı Çorlu  59 861 Tekirdağ,Turkey
54,GC0001513,Orta Mah. Adnan Kahveci Bulvarı Sögütlü Beldesi No: 75/A Akçaabat 61 300 Trabzon,Turkey
55,GC0025742,"İpekyolu Cad. Kurtuluş Parkı Karşısı,Merkez 65040 Van",Turkey
56,GC0050200,Hamidiye Mahallesi Selçuklu Cad. No:10 / H Kağıthane 34408 İSTANBUL,Turkey
57,GC0026153,Ziya Gökalp Mah. Abdullahpaşa Cad. No.43 Başakşehir 34490 İstanbul,Turkey
58,GC0017571,19 Mayıs Mahallesi Atatürk Caddesi No:82/1 Kadıköy 34736 İstanbul,Turkey
59,GC0069348,Osmaniye Mah. E5 Çırpıcı Yan Yol Cad. No:1-3 A1 Bakırköy 34146 İstanbul,Turkey
60,GC0010127,Selahaddin Eyyubi Mah. 1347 Sok. No:3 Esenyurt 34517 İstanbul,Turkey
61,GC0034319,Osmangazi Mah. Yıldızhan Cad. No:6 Sancaktepe 34887 İstanbul,Turkey
62,GC0034896,Bulgurlu Mah. Libadiye Cad. Çamlıbel Sok. No:5 Küçükçamlıca Üsküdar 34696 İstanbul,Turkey
63,GC0011263,"İstanbul-Edirne Asfaltı Şenlikköy Mahallesi Akasya Sokak No: 22 Florya, Bakırköy 34153 İstanbul",Turkey
64,GC0023182,"Fatih Mah. Katip Çelebi Cd. No:47, Tuzla/İstanbul  34956 İstanbul",Turkey
65,GC0001515,Baglariçi Caddesi No: 27 Avcılar 34 325 İstanbul,Turkey
66,GC0001515,Karaağaç Mah.Hadımköy-İstanbul Cad. No:2/6  Hadımköy 34555 İstanbul,Turkey
67,GC0047310,Ekşioğlu Mahallesi Ulusal Cadde No:9/A Taşdelen Çekmeköy 34794 İstanbul,Turkey
68,GC0001513,Basın Ekspres Yolu Cemal Ulusoy Cad. No: 9 Yenibosna 34197 İstanbul,Turkey
69,GC0001523,Fatih Mah.Yakacık Cad.No:33  34 887 İstanbul,Turkey
70,GC0001523,"Bağdat cad. No:243/A, Göztepe 34 728 İstanbul",Turkey
71,GC0001523,Esentepe Mahallesi Büyükdere Caddesi No:195/1  Şişli 34394 İstanbul,Turkey
72,GC0032292,"Yılanlı Ayazma Sokak No: 12 Davutpaşa, Topkapı  34 020 İstanbul",Turkey
73,GC0032292,"Davutpaşa Cad., No:40, Davutpaşa 34 020 İstanbul",Turkey
74,GC0032292,Büyük İstanbul Otogarı Zemin Kat No:38 Bayrampaşa 34 170 İstanbul,Turkey
75,GC0032292,Etiler Mahallesi Ahular Sokak No:10 34337 İstanbul,Turkey
76,GC0032292,"İkitelli Organize Sanayi Bölgesi Esenler Sanayi Sit. 4 Blok No:1,2,3,5,6,7 34 306 İstanbul",Turkey
77,GC0032292,İçerenköy Mah. Değirmenyolu Cd.No:28 Ofis Park Binası 1.Kat Ataşehir 34752 İstanbul,Turkey
78,GC0032292,"Maltepe Mahallesi Burmalı Çeşme Sokak Askeri Fırın Yolu No:2, Zeytinburnu  34020 İstanbul",Turkey
79,GC0026291,"İçerenköy Mah. Değirmen Yolu Cad. No:28  Asia Ofis Park Binası K.1 , Ataşehir 34752 İstanbul",Turkey
80,GC0003327,"Akçaburgaz Mahallesi, Mercedes Caddesi, No:6, Esenyurt 34522 İstanbul",Turkey
81,GC0015355,"Mercedes Caddesi, Akçaburgaz Mahallesi, No: 6, Esenyurt 34522 İstanbul",Turkey
82,GC0010128,Saray Mah. Sanayi Cad. No:10 Ümraniye 34768 İstanbul,Turkey
